Component,FLOPs,MFLOPs,Percentage
Patch extraction,0,0.0,0.0
Patch embedding,2359296,2.359296,0.27269881490278053
Transformer block 1,123256380,123.25638,14.246567092559296
Transformer block 2,123256380,123.25638,14.246567092559296
Transformer block 3,123256380,123.25638,14.246567092559296
Transformer block 4,123256380,123.25638,14.246567092559296
Transformer block 5,123256380,123.25638,14.246567092559296
Transformer block 6,123256380,123.25638,14.246567092559296
Transformer block 7,123256380,123.25638,14.246567092559296
Final LayerNorm,3840,0.00384,0.00044384572738082767
Classifier,7680,0.00768,0.0008876914547616553
